,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
179,180,Fisk University,150+,Nashville,TN,Tennessee,www.fisk.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,25,50.0,37.0,Required,Required,Required,6345,4217,66.46,251,5.95,470.0,580.0,520.0,630.0,20.0,26.0,20.0,28.0,18.0,24.0,20220.0,1912.0,20220.0,1912.0,22132,22132,"1000 17th Ave North, Nashville, Tennessee 37208-4501",8029,"(36.16707125, -86.80390651935417)",36.16707125, -86.80390651935417
180,181,Florida Agricultural and Mechanical University,150+,Tallahassee,FL,Florida,www.famu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,30,30.0,18.0,Required,Required,Required,9472,3124,32.98,1039,33.26,520.0,590.0,510.0,560.0,20.0,24.0,19.0,23.0,17.0,23.0,14524.0,3201.0,3152.0,2633.0,17725,5785,"1500 S Martin Luther King Jr Blvd, Tallahassee, Florida 32307",8022,"(30.428511, -84.2857)",30.428511, -84.2857
181,182,Florida Atlantic University,150+,Boca Raton,FL,Florida,www.fau.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,30,30.0,26.0,Recommended,Required,Required,25300,18919,74.78,4252,22.47,540.0,620.0,520.0,600.0,21.0,26.0,20.0,25.0,18.0,24.0,14374.0,2950.0,2522.0,2357.0,17324,4879,"777 Glades Rd  Administration Bldg.  Room 339, Boca Raton, Florida 33431-0991",11189,"(26.119403650000002, -80.14169191096471)",26.119403650000002, -80.14169191096471
182,183,Florida Gulf Coast University,150+,Fort Myers,FL,Florida,www.fgcu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,30,30.0,22.0,Not Required,Required,Required,15430,11956,77.49,2595,21.7,540.0,620.0,520.0,590.0,21.0,25.0,20.0,25.0,18.0,25.0,22328.0,2834.0,4191.0,1927.0,25162,6118,"10501 Fgcu Blvd S, Fort Myers, Florida 33965-6565",7738,"(26.46364775, -81.77472461428226)",26.46364775, -81.77472461428226
183,184,Florida Institute of Technology,150+,Melbourne,FL,Florida,www.fit.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,0,50.0,42.0,Considered,Required,Required,9803,6898,70.37,689,9.99,560.0,660.0,570.0,670.0,23.0,30.0,22.0,30.0,23.0,29.0,42346.0,900.0,42346.0,900.0,43246,43246,"150 West University Boulevard, Melbourne, Florida 32901-6975",8904,"(28.06397348979592, -80.6250648367347)",28.06397348979592, -80.6250648367347
184,185,Florida International University,150+,Miami,FL,Florida,www.fiu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,30,30.0,28.0,Not Required,Required,Required,16904,9784,57.88,3763,38.46,570.0,640.0,540.0,620.0,23.0,29.0,23.0,29.0,22.0,27.0,16529.0,2434.0,4721.0,1844.0,18963,6565,"11200 S. W. 8 Street, Miami, Florida 33199",3448,"(25.7553898, -80.3762832779774)",25.7553898, -80.3762832779774
185,186,Florida Polytechnic University,150+,Lakeland,FL,Florida,floridapoly.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Rural: Fringe,Yes,0,30,30.0,,Considered,Required,Considered,1665,973,58.44,313,32.17,600.0,680.0,610.0,690.0,27.0,32.0,24.0,31.0,26.0,30.0,3152.0,17853.0,3152.0,1788.0,21005,4940,"4700 Research Way, Lakeland, Florida 33805-8531",11186,"(28.147705350000003, -81.84878516048089)",28.147705350000003, -81.84878516048089
186,187,Florida Southern College,150+,Lakeland,FL,Florida,www.flsouthern.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,0.0,57.0,Recommended,Considered,Recommended,9116,4592,50.37,675,14.7,560.0,650.0,550.0,630.0,24.0,30.0,23.0,31.0,22.0,27.0,38180.0,800.0,38180.0,800.0,38980,38980,"111 Lake Hollingsworth Dr, Lakeland, Florida 33801-5698",11186,"(28.0262551, -81.9381453)",28.0262551, -81.9381453
187,188,Florida State University,55,Tallahassee,FL,Florida,www.fsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,30,30.0,66.0,Not Required,Required,Required,63691,20668,32.45,6009,29.07,620.0,680.0,600.0,670.0,27.0,31.0,26.0,33.0,25.0,29.0,16540.0,2246.0,4022.0,1634.0,18786,5656,"222 S. Copeland Street, Tallahassee, Florida 32306-1037",8022,"(30.4404084483143, -84.290923)",30.4404084483143, -84.290923
188,189,Fontbonne University,150+,Saint Louis,MO,Missouri,www.fontbonne.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,0,0.0,51.0,Recommended,Required,Required,717,612,85.36,174,28.43,,,,,17.0,23.0,16.0,23.0,16.0,23.0,27290.0,500.0,27290.0,500.0,27790,27790,"6800 Wydown Blvd, Saint Louis, Missouri 63105-3098",3476,"(38.643131505050505, -90.31550973737373)",38.643131505050505, -90.31550973737373
